Species name,Dorsal_stripes_v_1,Dorsal_stripes_v_2,Dorsa_stripesl_v_3,Dorsa_stripesl_v_4,Dorsal_stripes_v_5,Dorsal_stripes_v_6,Dorsal_stripes_v_7,Dorsal_stripes_v_8,Dorsal_stripes_v_9,Dorsal_stripes_v_10,Lateral_stripes_v_1,Lateral_stripes_v_2,Lateral_stripes_v_3,Lateral_stripes_v_4,Lateral_stripes_v_5,Lateral_stripes_v_6,Lateral_stripes_v_7,Lateral_stripes_v_8,Lateral_stripes_v_9,Lateral_stripes_v_10,Tail_color_V_1,Tail_color_V_2,Tail_color_V_3,Tail_color_V_4,Tail_color_V_5,Tail_color_V_6,Tail_color_V_7,Tail_color_V_8,Tail_color_V_9,Tail_color_V_10
Abronia mixteca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Acanthodactylus longipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Acanthosaura capra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Adolfus alleni,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Agama mwanzae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue
Amblyrhynchus cristatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Amphibolurus muricatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Amphiglossus melanurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anniella geronimensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis argillaceus,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis eugenegrahami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis gemmosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis guamuhaya,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis insolitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Anolis polylepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Barisia levicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Brachylophus vitiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Calyptotis ruficauda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Blue
Cercosaura argulus,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
Cercosaura schreibersii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Chalcides polylepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Chelosania brunnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Chioninia vaillantii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Cordylus macropholis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Coryphophylax subcristatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Ctenophorus fordi,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Ctenosaura bakeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
Ctenotus atlas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color,Same as body color
