Species name,Dorsal_Stripe_v1,Dorsal_Stripe_v2,Dorsal_Stripe_v3,Lateral_Stripe_v1,Lateral_Stripe_v2,Lateral_Stripe_v3,Red_tail_v1,Red_tail_v2,Red_tail_v3,Green_tail_v1,Green_tail_v2,Green_tail_v3,Blue_tail_v1,Blue_tail_v2,Blue_tail_v3
Ablepharus budaki,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Ablepharus chernovi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ablepharus kitaibelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ablepharus pannonicus,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Abronia anzuetoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia aurita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia campbelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia fimbriata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia frosti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia graminea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia lythrochila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia mixteca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abronia oaxacae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthocercus atricollis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Acanthodactylus aureus,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
Acanthodactylus beershebensis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus blanci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthodactylus boskianus,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus busacki,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus cantoris,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus erythrurus,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Acanthodactylus gongrorhynchatus,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
Acanthodactylus longipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthodactylus maculatus,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus masirae,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus opheodurus,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acanthodactylus orientalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthodactylus pardalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthodactylus schmidti,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Acanthodactylus schreiberi,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Acanthodactylus scutellatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthosaura armata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthosaura capra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthosaura crucigera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthosaura lepidogaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontias breviceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontias gracilicauda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontias kgalagadi,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acontias lineatus,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acontias litoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontias meleagris,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Acontias percivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontias plumbeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acratosaura mentalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adolfus africanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adolfus alleni,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Adolfus jacksoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
