,Species name,Habitat (Scansorial=1; Ground-dwelling=0),Cautal autotomy (Yes=1;No=0),Body temperature,Diel activity (Nocturnal=1; Diurnal=0)
1,Ablepharus budaki,NA,NA,NA,NA
2,Ablepharus chernovi,NA,NA,NA,NA
3,Ablepharus kitaibelii,NA,NA,NA,NA
4,Ablepharus pannonicus,0,NA,NA,0
5,Abronia anzuetoi,NA,NA,NA,NA
6,Abronia aurita,NA,NA,NA,NA
7,Abronia campbelli,NA,NA,NA,NA
8,Abronia fimbriata,NA,NA,NA,NA
9,Abronia frosti,NA,NA,NA,NA
10,Abronia graminea,NA,NA,NA,NA
11,Abronia lythrochila,NA,NA,NA,NA
12,Abronia mixteca,NA,NA,NA,NA
13,Abronia oaxacae,NA,NA,NA,NA
14,Acanthocercus atricollis,1,NA,39.8,0
15,Acanthodactylus aureus,NA,1,NA,NA
16,Acanthodactylus beershebensis,0,1,34.1,0
17,Acanthodactylus blanci,NA,1,NA,NA
18,Acanthodactylus boskianus,0,1,36.2,0
19,Acanthodactylus busacki,NA,1,NA,NA
20,Acanthodactylus cantoris,0,1,NA,0
21,Acanthodactylus erythrurus,0,1,33,0
22,Acanthodactylus gongrorhynchatus,NA,1,NA,NA
23,Acanthodactylus longipes,NA,1,34.3,0
24,Acanthodactylus maculatus,0,1,NA,0
25,Acanthodactylus masirae,NA,1,NA,NA
26,Acanthodactylus opheodurus,0,1,33.1,0
27,Acanthodactylus orientalis,NA,1,NA,NA
28,Acanthodactylus pardalis,0,1,35.3,0
29,Acanthodactylus schmidti,0,1,38.4,0
30,Acanthodactylus schreiberi,0,1,38,0
31,Acanthodactylus scutellatus,0,1,35.7,0
32,Acanthosaura armata,1,NA,NA,0
33,Acanthosaura capra,NA,NA,NA,0
34,Acanthosaura crucigera,NA,NA,NA,NA
35,Acanthosaura lepidogaster,1,NA,NA,0
36,Acontias breviceps,0,NA,NA,NA
37,Acontias gracilicauda,NA,NA,NA,NA
38,Acontias kgalagadi,NA,NA,NA,NA
39,Acontias lineatus,0,NA,NA,NA
40,Acontias litoralis,NA,NA,NA,NA
41,Acontias meleagris,0,NA,21.8,NA
42,Acontias percivali,NA,NA,NA,NA
